---
# Velocity gradient along pathline with the following settings:
#   nsteps: 3116
#   ictrl:  7
#   eqincr: 0.02
#   temp:   298

schema:
  delimiter: ' '
  missing: '-'
  fields:
    - name: step
      type: integer
    - name: L11
      type: float
    - name: L12
      type: float
    - name: L13
      type: float
    - name: L21
      type: float
    - name: L22
      type: float
    - name: L23
      type: float
    - name: L31
      type: float
    - name: L32
      type: float
    - name: L33
      type: float
    - name: tincr
      type: float
---
step L11 L12 L13 L21 L22 L23 L31 L32 L33 tincr
1860 0.0005795759597792898 0.0004703220102691042 0.00047730364762872554 0.00025615209219758035 -0.0005450643479281196 -0.0003133992193150474 -0.0016755336281791627 -0.0006339480045510435 -0.0001340600831709087 -2.5
1861 0.0005816132322404682 0.0004707491021380652 0.00047767840704450204 0.0002508601537059308 -0.0005468883797510699 -0.00031394898784933096 -0.001675567119277304 -0.0006345941813152255 -0.00013394467451875543 -2.5
1862 0.0005836218291046665 0.0004711380177401736 0.0004780545150086302 0.0002456108688815065 -0.000548694107702306 -0.00031428623126581704 -0.0016756685714007708 -0.0006351943902234 -0.0001336083063468692 -2.5
1863 0.000585596703826529 0.00047153780509505877 0.0004784221650697315 0.00024038255903423823 -0.000550471949781525 -0.0003155905459178116 -0.0016757517536774966 -0.0006358590076101224 -0.00013306685467538647 -2.5
1864 0.0005791508708380536 0.0004706279684054304 0.0005850784708307978 0.0002323226762345821 -0.0005526994731421798 -0.00027952517011927064 -0.0016779039681192652 -0.000636782583514266 -0.00010497024176408551 -2.5
1865 0.0005832327548134522 0.00047141466833111666 0.0005857170203675369 0.00022790623237881063 -0.0005545430890843469 -0.00027930837163624953 -0.0016769634062215682 -0.0006372186633044291 -0.00010498304017245795 -2.5
1866 0.0005873024592102868 0.000472199157038135 0.00058636764229532 0.0002235298290847434 -0.0005559953073292834 -0.00028013819690695887 -0.001676145761391102 -0.00063761065451339 -0.0001048341458230945 -2.5
1867 0.0005913649938463259 0.0004729830962058218 0.0005870161326852847 0.00021913040104404704 -0.0005576226980146834 -0.0002806254615358112 -0.0016752725047098909 -0.0006383421496493715 -0.00010448875241379809 -2.5
1868 0.0005954157718406355 0.00047376321386681015 0.0005876565796116022 0.00021476737450956232 -0.0005593485768794318 -0.00028111478337352176 -0.0016743593340151771 -0.0006387209287702978 -0.00010431074733537865 -2.5
1869 0.0005994565060372817 0.00047453671557013625 0.0005882999252628158 0.0002103608403841662 -0.0005609321670545609 -0.0002816921850375439 -0.0016736180614111732 -0.0006391211067967708 -0.00010423463441885437 -2.5
